,ethnicity,date,filename,sex
0,Region1,2003-02-04,GSM25349,M
1,Region1,2003-02-04,GSM25350,M
2,Region1,2002-12-17,GSM25356,M
3,Region1,2003-01-30,GSM25357,M
4,Region1,2003-01-03,GSM25358,M
5,Region1,2003-01-16,GSM25359,M
6,Region1,2003-01-03,GSM25360,F
7,Region1,2003-02-04,GSM25361,M
8,Region1,2002-12-17,GSM25377,M
9,Region1,2002-12-17,GSM25378,M
10,Region1,2002-12-17,GSM25385,M
11,Region1,2003-01-03,GSM25386,M
12,Region1,2002-12-17,GSM25399,F
13,Region1,2002-12-17,GSM25400,F
14,Region1,2002-11-22,GSM25401,M
15,Region1,2002-12-06,GSM25402,F
16,Region1,2003-01-03,GSM25409,M
17,Region1,2003-02-21,GSM25410,F
18,Region1,2003-02-21,GSM25426,M
19,Region1,2002-12-19,GSM25427,M
20,Region1,2002-11-19,GSM25479,M
21,Region1,2002-11-21,GSM25480,M
22,Region1,2002-11-19,GSM25481,F
23,Region1,2002-11-21,GSM25482,F
24,Region1,2002-11-21,GSM25524,M
25,Region1,2002-11-27,GSM25525,M
26,Region1,2002-12-06,GSM25526,M
27,Region1,2002-12-06,GSM25527,M
28,Region1,2002-11-21,GSM25528,M
29,Region1,2002-11-27,GSM25529,M
30,Region1,2002-11-21,GSM25530,F
31,Region1,2002-12-06,GSM25531,F
32,Region1,2003-01-16,GSM25540,M
33,Region1,2003-01-16,GSM25541,M
34,Region1,2003-01-22,GSM25542,F
35,Region1,2003-01-22,GSM25543,F
36,Region1,2003-03-11,GSM25548,M
37,Region1,2003-03-11,GSM25549,M
38,Region1,2003-03-07,GSM25550,F
39,Region1,2003-03-07,GSM25551,F
40,Region1,2003-04-04,GSM25552,M
41,Region1,2003-04-04,GSM25553,M
42,Region1,2003-01-23,GSM25561,M
43,Region1,2003-01-30,GSM25562,M
44,Region1,2003-01-23,GSM25563,M
45,Region1,2003-01-30,GSM25564,M
46,Region1,2003-02-16,GSM25565,F
47,Region1,2003-02-04,GSM25566,F
48,Region1,2003-01-23,GSM25568,M
49,Region1,2003-02-16,GSM25569,F
50,Region1,2003-03-11,GSM25570,F
51,Region1,2003-03-11,GSM25571,F
52,Region1,2002-10-31,GSM25578,M
53,Region1,2002-11-15,GSM25579,M
54,Region1,2002-10-31,GSM25580,F
55,Region1,2002-11-15,GSM25581,F
56,Region1,2002-12-19,GSM25624,M
57,Region1,2003-01-03,GSM25625,M
58,Region1,2003-01-03,GSM25626,F
59,Region1,2003-01-23,GSM25627,M
60,Region1,2003-01-16,GSM25628,M
61,Region1,2003-01-16,GSM25629,M
62,Region1,2003-01-23,GSM25630,M
63,Region1,2003-03-04,GSM25631,F
64,Region1,2003-01-14,GSM25632,M
65,Region1,2003-01-14,GSM25633,M
66,Region1,2003-01-14,GSM25634,F
67,Region1,2003-01-14,GSM25635,M
68,Region1,2003-01-22,GSM25656,M
69,Region1,2002-11-22,GSM25657,M
70,Region1,2002-12-19,GSM25658,F
71,Region1,2003-01-31,GSM25659,F
72,Region1,2002-12-19,GSM25660,M
73,Region1,2002-12-19,GSM25661,M
74,Region1,2003-02-26,GSM25662,F
75,Region1,2003-02-26,GSM25663,F
76,Region1,2003-02-21,GSM25680,M
77,Region1,2003-02-21,GSM25681,M
78,Region1,2003-02-26,GSM25682,F
79,Region1,2003-02-26,GSM25683,F
80,Region1,2003-02-26,GSM25684,M
81,Region1,2003-02-26,GSM25685,M
82,Region1,2003-02-26,GSM25686,F
83,Region1,2003-02-26,GSM25687,F
84,Region1,2004-04-30,GSM48650,M
85,Region1,2004-04-30,GSM48651,F
86,Region1,2004-04-30,GSM48652,M
87,Region1,2004-04-30,GSM48653,M
88,Region1,2004-12-22,GSM48654,F
89,Region1,2004-11-04,GSM48655,M
90,Region1,2004-11-04,GSM48656,M
91,Region1,2004-11-18,GSM48657,M
92,Region1,2004-11-04,GSM48658,F
93,Region1,2004-11-18,GSM48660,F
94,Region1,2004-12-22,GSM48661,F
95,Region1,2004-11-18,GSM48662,M
96,Region1,2004-11-18,GSM48663,F
97,Region1,2002-11-22,GSM48664,M
98,Region1,2002-11-22,GSM48665,F
99,Region2,2005-05-13,GSM136441,F
100,Region2,2005-06-10,GSM136442,F
101,Region2,2005-06-10,GSM136443,M
102,Region2,2005-06-10,GSM136444,M
103,Region2,2005-06-10,GSM136445,F
104,Region2,2005-06-10,GSM136506,M
105,Region2,2005-06-23,GSM136507,M
106,Region2,2005-06-23,GSM136508,M
107,Region2,2005-06-23,GSM136509,M
108,Region2,2005-06-23,GSM136510,M
109,Region2,2005-06-23,GSM136514,M
110,Region2,2005-06-23,GSM136515,M
111,Region2,2005-06-27,GSM136516,F
112,Region2,2005-06-27,GSM136517,F
113,Region2,2005-06-27,GSM136518,F
114,Region2,2005-06-27,GSM136520,F
115,Region2,2005-06-27,GSM136521,F
116,Region2,2005-06-27,GSM136522,M
117,Region2,2005-06-27,GSM136523,M
118,Region2,2005-06-27,GSM136524,M
119,Region2,2005-06-27,GSM136528,M
120,Region2,2005-06-27,GSM136529,M
121,Region2,2005-06-27,GSM136530,F
122,Region2,2005-07-07,GSM136531,M
123,Region2,2005-07-07,GSM136532,F
124,Region2,2005-07-07,GSM136534,M
125,Region2,2005-07-07,GSM136535,M
126,Region2,2005-07-07,GSM136536,F
127,Region2,2005-07-07,GSM136537,M
128,Region2,2006-06-13,GSM136538,F
129,Region2,2006-06-13,GSM136539,F
130,Region2,2005-08-18,GSM136540,F
131,Region2,2005-08-18,GSM136541,F
132,Region2,2005-08-18,GSM136542,M
133,Region2,2005-08-18,GSM136543,F
134,Region2,2005-08-18,GSM136544,F
135,Region2,2005-08-18,GSM136545,M
136,Region2,2005-08-18,GSM136546,M
137,Region2,2005-08-18,GSM136547,M
138,Region2,2005-08-18,GSM136548,M
139,Region2,2005-08-18,GSM136549,M
140,Region2,2005-08-18,GSM136550,F
141,Region2,2005-08-18,GSM136551,M
142,Region2,2005-09-29,GSM136552,M
143,Region2,2005-09-29,GSM136553,F
144,Region2,2005-09-29,GSM136555,F
145,Region2,2005-09-29,GSM136556,F
146,Region2,2005-09-29,GSM136557,M
147,Region2,2005-09-29,GSM136558,M
148,Region2,2005-10-07,GSM136559,M
149,Region2,2005-10-07,GSM136563,M
150,Region2,2005-10-07,GSM136564,M
151,Region2,2005-10-07,GSM136565,F
152,Region2,2005-10-07,GSM136566,F
153,Region2,2005-10-07,GSM136567,F
154,Region2,2005-10-07,GSM136568,F
155,Region2,2005-10-07,GSM136569,F
156,Region2,2005-10-07,GSM136570,M
157,Region2,2005-10-07,GSM136571,F
158,Region2,2005-10-07,GSM136572,M
159,Region2,2005-10-07,GSM136573,F
160,Region2,2005-10-07,GSM136574,F
161,Region2,2005-10-28,GSM136575,F
162,Region2,2005-10-28,GSM136576,M
163,Region2,2005-10-28,GSM136577,F
164,Region2,2005-11-18,GSM136658,M
165,Region2,2005-11-18,GSM136659,F
166,Region2,2005-11-18,GSM136660,M
167,Region2,2005-11-18,GSM136661,F
168,Region2,2005-11-18,GSM136662,M
169,Region2,2005-11-18,GSM136663,M
170,Region2,2005-11-18,GSM136664,M
171,Region2,2005-11-18,GSM136665,M
172,Region2,2005-11-18,GSM136666,M
173,Region2,2005-11-18,GSM136667,M
174,Region2,2005-11-18,GSM136668,M
175,Region2,2005-11-18,GSM136669,M
176,Region2,2005-11-18,GSM136670,M
177,Region2,2005-12-21,GSM136671,M
178,Region2,2005-12-21,GSM136672,F
179,Region2,2005-12-21,GSM136673,M
180,Region3,2006-04-28,GSM136674,F
181,Region3,2006-04-28,GSM136675,F
182,Region3,2006-04-28,GSM136676,F
183,Region3,2006-04-28,GSM136677,M
184,Region3,2006-04-28,GSM136705,M
185,Region3,2006-04-28,GSM136706,F
186,Region3,2006-04-28,GSM136707,F
187,Region3,2006-04-28,GSM136708,F
188,Region3,2006-04-28,GSM136709,M
189,Region3,2006-04-28,GSM136710,F
190,Region3,2006-04-28,GSM136711,M
191,Region3,2006-04-28,GSM136712,F
192,Region3,2006-04-28,GSM136713,F
193,Region3,2006-04-28,GSM136714,M
194,Region3,2006-04-28,GSM136715,M
195,Region3,2006-04-28,GSM136716,M
196,Region3,2006-04-28,GSM136717,F
197,Region3,2006-04-28,GSM136718,M
198,Region3,2006-04-28,GSM136719,F
199,Region3,2006-04-28,GSM136720,M
200,Region3,2006-04-28,GSM136721,F
201,Region3,2006-04-28,GSM136722,F
202,Region3,2006-04-28,GSM136723,M
203,Region3,2006-04-28,GSM136724,M
204,Region1,2005-02-16,GSM136725,F
205,Region1,2005-02-16,GSM136726,M
206,Region1,2005-06-10,GSM136727,M
207,Region2,2005-05-13,GSM136729,M
